Country Name,Country Code,Series Name,Series Code,2000 [YR2000],2005 [YR2005],2010 [YR2010],2015 [YR2015],2020 [YR2020]
Niger,NER,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,17.431,13.922,10.589,8.799,8.281
Niger,NER,"Debt service (PPG and IMF only, % of exports of goods, services and primary income)",DT.TDS.DPPF.XP.ZS,6.80460860802328,5.34545661273765,1.34310764557589,6.17057422324047,13.1780380927162
Niger,NER,"Debt service on external debt, public and publicly guaranteed (PPG) (TDS, current US$)",DT.TDS.DPPG.CD,20122049,26067139.1,17444497.3,77328366.9,172602700
Niger,NER,"Debt service on external debt, total (TDS, current US$)",DT.TDS.DECT.CD,26562840.4,40492783.5,26451201.7,87928797.2,195782769.9
Niger,NER,DEC alternative conversion factor (LCU per US$),PA.NUS.ATLS,710.207977,527.258363,494.794262,591.211698,575.586005
Niger,NER,Demand for family planning satisfied by modern methods (% of married women with demand for family planning),SH.FPL.SATM.ZS,..,..,..,..,..
Niger,NER,Deposit interest rate (%),FR.INR.DPST,..,7.6075,8.38666666666667,6.99833333333333,..
Niger,NER,"Depositors with commercial banks (per 1,000 adults)",FB.CBK.DPTR.P3,..,11.33,26.2,49.88,68.61
Niger,NER,Depth of credit information index (0=low to 8=high),IC.CRD.INFO.XQ,..,..,..,0,..
Niger,NER,Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,..,..,..,..,..
Niger,NER,Ease of doing business rank (1=most business-friendly regulations),IC.BUS.EASE.XQ,..,..,..,..,..
Niger,NER,Ease of doing business score (0 = lowest performance to 100 = best performance),IC.BUS.DFRN.XQ,..,..,..,46.32429,..
Niger,NER,"Educational attainment, at least Bachelor's or equivalent, population 25+, female (%) (cumulative)",SE.TER.CUAT.BA.FE.ZS,..,..,..,..,..
Niger,NER,"Educational attainment, at least Bachelor's or equivalent, population 25+, male (%) (cumulative)",SE.TER.CUAT.BA.MA.ZS,..,..,..,..,..
Niger,NER,"Educational attainment, at least Bachelor's or equivalent, population 25+, total (%) (cumulative)",SE.TER.CUAT.BA.ZS,..,..,..,..,..
Niger,NER,"Educational attainment, at least completed lower secondary, population 25+, female (%) (cumulative)",SE.SEC.CUAT.LO.FE.ZS,..,..,..,..,..
Niger,NER,"Educational attainment, at least completed lower secondary, population 25+, male (%) (cumulative)",SE.SEC.CUAT.LO.MA.ZS,..,..,..,..,..
Niger,NER,"Educational attainment, at least completed lower secondary, population 25+, total (%) (cumulative)",SE.SEC.CUAT.LO.ZS,..,..,..,..,..
Niger,NER,"Educational attainment, at least completed post-secondary, population 25+, female (%) (cumulative)",SE.SEC.CUAT.PO.FE.ZS,..,..,..,..,..
Niger,NER,"Educational attainment, at least completed post-secondary, population 25+, male (%) (cumulative)",SE.SEC.CUAT.PO.MA.ZS,..,..,..,..,..
Niger,NER,"Educational attainment, at least completed post-secondary, population 25+, total (%) (cumulative)",SE.SEC.CUAT.PO.ZS,..,..,..,..,..
Niger,NER,"Educational attainment, at least completed primary, population 25+ years, female (%) (cumulative)",SE.PRM.CUAT.FE.ZS,..,..,..,..,..
Niger,NER,Female genital mutilation prevalence (%),SH.STA.FGMS.ZS,..,..,..,..,..
Niger,NER,Female headed households (% of households with a female head),SP.HOU.FEMA.ZS,..,..,..,..,..
Niger,NER,Female primary school age children out-of-school (%),SE.LPV.PRIM.SD.FE,..,..,..,..,..
Niger,NER,Female pupils below minimum reading proficiency at end of primary (%). Low GAML threshold,SE.LPV.PRIM.LD.FE,..,..,..,..,..
Niger,NER,Female share of employment in senior and middle management (%),SL.EMP.SMGT.FE.ZS,..,..,..,..,..
Niger,NER,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,7.732,7.615,7.485,7.211,6.892
Niger,NER,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,..,..,..,..,..
Niger,NER,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,0.323720930232558,0.387665510160731,0.496026490066225,0.406191071428571,0.586468361581921
Niger,NER,Final consumption expenditure (% of GDP),NE.CON.TOTL.ZS,92.8911854010179,90.1894795295828,86.9366946360424,83.8338675780966,86.9971339474634
Niger,NER,GDP (constant 2015 US$),NY.GDP.MKTP.KD,4522117708.50312,5601396628.31908,7299346341.92573,9683867926.44282,12646096746.8041
